song_title,artist_name,danceability,energy,loudness,acousticness,tempo,mode
Hawk Em,Pop Smoke,0.68,0.607,-5.523,0.264,141.992,Major
Faith,The Weeknd,0.37,0.603,-7.268,0.612,175.962,Minor
Greek Tragedy - Oliver Nelson TikTok Remix,The Wombats,0.736,0.764,-6.736,0.222,112.033,Minor
Homesick,Noah Kahan,0.505,0.624,-6.526,0.0253,170.076,Major
August,flipturn,0.45,0.602,-4.301,0.0892,172.161,Major
Stop This Train,John Mayer,0.619,0.437,-11.756,0.465,89.508,Major
All Your'n,Tyler Childers,0.585,0.55,-7.342,0.408,78.176,Major
American Pie,Don McLean,0.529,0.482,-11.709,0.7,138.453,Minor
Peter,Taylor Swift,0.342,0.376,-8.212,0.805,176.859,Major
Amor Mio,Frank Sark,0.61,0.256,-13.413,0.73,95.002,Major
You Rock My World,Michael Jackson,0.854,0.673,-3.132,0.038,95,Minor
Ripple Effect,FELIVAND,0.662,0.697,-6.023,0.0873,81.987,Minor
Cliffs of Dover - Live,Eric Johnson,0.207,0.799,-9.627,0.659,196.241,Major
Dancing Queen,ABBA,0.543,0.87,-6.514,0.358,100.804,Major
Lebanese Blonde,Thievery Corporation,0.808,0.837,-6.583,0.238,92.002,Minor
Wild Blue,John Mayer,0.816,0.596,-8.989,0.557,123.027,Major
Skin and Bones,070 Shake,0.613,0.633,-6.494,0.0439,115.98,Major
In The Fire,Dave,0.765,0.681,-4.241,0.0497,127.77,Minor
Boa Sorte / Good Luck (feat. Ben Harper),Vanessa Da Mata,0.78,0.566,-9.289,0.323,111.019,Major
John Redcorn,SiR,0.734,0.435,-6.126,0.226,143.967,Minor
Take It or Leave It,Cage The Elephant,0.71,0.847,-3.009,0.0289,119.944,Major
Alley Rose,Conan Gray,0.224,0.639,-4.603,0.00568,105.449,Major
Money Trees,Kendrick Lamar,0.716,0.531,-7.355,0.0703,71.994,Major
