Protein,Sodium,Calcium,Potassium,Recipe
61,1113,1189,687,macncheese
18,524,368,229,macncheese
13,286,336,303,macncheese
28,1194,643,287,macncheese
28,988,773,273,macncheese
20,1204,332,265,macncheese
63,1767,915,913,macncheese
11,382,251,113,macncheese
27,777,568,380,macncheese
29,1233,161,633,macncheese
47,978,594,532,macncheese
17,1109,642,322,macncheese
20,1046,493,285,macncheese
27,720,426,222,macncheese
26,568,94,227,macncheese
17,670,362,295,macncheese
14,321,202,240,macncheese
16,532,330,187,macncheese
22,783,439,433,macncheese
19,450,424,237,macncheese
30,818,643,551,macncheese
20,848,324,452,pizza
6,399,82,95,pizza
3,216,59,51,pizza
6,213,91,56,pizza
71,1024,393,841,pizza
12,475,175,146,pizza
39,1011,232,668,pizza
18,517,174,186,pizza
17,937,282,164,pizza
6,271,105,42,pizza
59,3763,294,716,pizza
24,1093,452,218,pizza
9,568,197,350,pizza
